X;Y;Z;Classification;R;G;B;NIR;treeID;Tree_type
691419.72;6468453.98;0.0;2;37632;36608;29184;43264;1892.0;Не определено
691418.87;6468453.91;0.0;2;33792;32512;26880;43264;1892.0;Не определено
691419.64;6468453.93;21.735;5;37632;36608;29184;43264;1892.0;Не определено
691418.86;6468453.85;21.677;5;33792;32512;26880;43264;1892.0;Не определено
691419.89;6468454.95;0.0;2;30208;28416;24320;39424;1892.0;Не определено
691419.0;6468454.87;0.0;2;27392;25600;18432;38144;1892.0;Не определено
691418.2;6468454.8;0.0;2;32768;29440;25088;39424;1892.0;Не определено
691419.78;6468454.9;21.189;5;28928;27136;22528;40192;1892.0;Не определено
691418.99;6468454.82;21.795;5;32256;30464;23296;46848;1892.0;Не определено
691418.79;6468454.81;19.116;5;29696;26880;21248;42752;1892.0;Не определено
691419.21;6468454.84;24.845;5;26368;24832;18688;38656;1892.0;Не определено
691418.37;6468454.75;24.684;5;32768;29440;25088;39424;1892.0;Не определено
691418.22;6468454.75;22.675;5;32768;29440;25088;39424;1892.0;Не определено
691419.23;6468455.73;0.0;2;26112;24064;20736;32768;1892.0;Не определено
691419.92;6468455.76;20.556;5;32256;30464;26368;38656;1892.0;Не определено
691419.31;6468455.69;23.446;5;26112;24064;20736;32768;1892.0;Не определено
691418.64;6468455.62;26.083;5;29696;26880;21760;41984;1892.0;Не определено
691417.66;6468455.54;24.196;5;28160;27648;21248;45312;1892.0;Не определено
691419.92;6468456.82;0.0;2;30208;28160;23296;36096;1892.0;Не определено
691419.12;6468456.74;0.0;2;31488;28672;21504;40704;1892.0;Не определено
691418.3;6468456.66;0.0;2;24576;22784;17920;38144;1892.0;Не определено
691419.59;6468456.75;17.425;5;25600;23552;18688;30976;1892.0;Не определено
691419.2;6468456.7;23.634;5;29696;26880;21248;36352;1892.0;Не определено
691419.3;6468456.71;24.946;5;29696;26880;21248;36352;1892.0;Не определено
691418.59;6468456.64;26.172;5;24832;22784;17408;37376;1892.0;Не определено
691417.6;6468456.55;24.424;5;23808;27648;17664;53248;1892.0;Не определено
691419.76;6468457.99;0.0;2;33280;29184;22784;38656;1892.0;Не определено
691418.92;6468457.91;0.0;2;39936;36608;27904;46080;1892.0;Не определено
691419.59;6468457.94;19.878;5;33024;30720;22784;36864;1892.0;Не определено
691419.77;6468457.95;22.399;5;33280;29184;22784;38656;1892.0;Не определено
691418.73;6468457.85;20.266;5;35584;32512;26880;43776;1892.0;Не определено
691416.81;6468457.7;4.224;5;17152;23040;12288;51200;1892.0;Не определено
691418.23;6468457.8;24.148;5;18432;16896;13824;26112;1892.0;Не определено
691419.59;6468458.97;0.0;2;31488;29696;22272;38656;1892.0;Не определено
691417.08;6468458.74;0.0;2;22528;27648;18688;51200;23034.0;Не определено
691417.32;6468458.74;3.146;5;20224;24320;16896;46848;23034.0;Не определено
691416.91;6468458.69;8.983;5;22016;27136;17664;52224;23034.0;Не определено
691416.12;6468458.62;9.81;5;23808;29696;18432;52992;23034.0;Не определено
691415.99;6468458.61;8.051;5;26624;33536;20480;56832;23034.0;Не определено
691417.38;6468459.55;3.493;5;14592;17408;13056;36352;23034.0;Не определено
691417.12;6468459.54;0.0;2;9472;12800;8192;33280;23034.0;Не определено
691416.89;6468459.5;7.978;5;11776;15360;9472;36608;23034.0;Не определено
691416.99;6468459.5;9.393;5;11776;15360;9472;36608;23034.0;Не определено
